# Compound nouns, and the words they are made of.
#
# One line per compound: the word, a tab, then its parts. A sentence saying a
# compound listed ABOVE THE MARKER counts as saying its parts instead, so a
# reader who knows `krank` and `haus` can read `Krankenhaus` without it being
# taught as a word of its own.
#
# ONLY LINES ABOVE THE MARKER COUNT. Below it these are guesses, made by
# cutting wherever both halves are words the corpus says at least thirty
# times. Check each one; delete what is wrong; move the marker down. Nothing
# unverified ever reaches the corpus.
#
# Nouns only, decided by capitalisation -- German writes its nouns with a
# capital, so a lemma whose surfaces are 80% capitalised is one. That test
# removes the family that made the earlier version unusable: separable verb
# prefixes split cleanly and mean something else entirely (ueberleben is not
# ueber + leben, uebernehmen is not ueber + nehmen), and adverbs like
# vielleicht and teilweise merely look compound.
#
# Two filters came before it, each fixing the version above:
#   parts must be words the corpus says 30+ times, or `politisch` comes out
#   as `polit` + `isch` and a hundred rejections sit at the top;
#   parts must not be suffixes, or every `-lich` and `-ung` word decomposes.
#
# Ordered by how often the corpus says each word, most frequent first, so the
# checking pays earliest. The number after each line is that count.








jahrhundert	jahr hundert	# 534
reichsluftfahrtministerium	reich luft fahrt ministerium	# 4
reiseführer	reis führer	# 4
reisekosten	reis kosten	# 4
restrisiko	rest risiko	# 4
richtlinienkompetenz	richtlinie kompetenz	# 4
riesenunterschied	ries unterschied	# 4
rundgang	rund gang	# 4
satellitenbild	satellit bild	# 4
satzreihe	satz reihe	# 4
schlachtschiff	schlacht schiff	# 4
schlafanzug	schlaf anzug	# 4
schlafplatz	schlaf platz	# 4
schlüsselbund	schlüssel bund	# 4
schusswaffe	schuss waffe	# 4
schutzanzug	schutz anzug	# 4
schutzgeld	schutz geld	# 4
schwachkopf	schwach kopf	# 4
schweizerfranken	schweizer franken	# 4
schwermetall	schwer metall	# 4
seriennummer	serie nummer	# 4
sonnenoberfläche	sonne oberfläche	# 4
sozialleben	sozial leben	# 4
sozialreform	sozial reform	# 4
sozialversicherungsbeitrag	sozial versicherung beitrag	# 4
spiegelbild	spiegel bild	# 4
spitzengeschwindigkeit	spitze geschwindigkeit	# 4
spitzenpolitiker	spitze politiker	# 4
spitzensport	spitze sport	# 4
sportgeschäft	sport geschäft	# 4
sporthochschule	sport hochschule	# 4
stadtgebiet	stadt gebiet	# 4
stammesfürst	stamm fürst	# 4
startpunkt	start punkt	# 4
statistikklausur	statistik klausur	# 4
stellenangebot	stell angebot	# 4
sternsystem	stern system	# 4
steuerbord	steuer bord	# 4
steuerfreibetrag	steuer frei betrag	# 4
steuerzahlung	steuer zahlung	# 4
strandurlaub	strand urlaub	# 4
strassenfest	strasse fest	# 4
strommarkt	strom markt	# 4
stromschlag	strom schlag	# 4
studentenbewegung	student bewegung	# 4
stundenlohn	stunde lohn	# 4
sturmgewehr	sturm gewehr	# 4
symbolkraft	symbol kraft	# 4
sündenbock	sünde bock	# 4
taschendieb	tasche dieb	# 4
teammitglied	team mitglied	# 4
teilnehmerzahl	teilnehmer zahl	# 4
telefongespräch	telefon gespräch	# 4
tempelanlage	tempel anlage	# 4
textnachricht	text nachricht	# 4
tiergeschichte	tier geschichte	# 4
tierreich	tier reich	# 4
tierschutz	tier schutz	# 4
traumwohnung	traum wohnung	# 4
trendwende	trend wende	# 4
umweltministerin	umwelt ministerin	# 4
unterdruck	unter druck	# 4
unterführung	unter führung	# 4
untermiete	unter miete	# 4
unterseite	unter seite	# 4
verbpaar	verb paar	# 4
videoanruf	video anruf	# 4
videokonferenz	video konferenz	# 4
videomaterial	video material	# 4
videoserie	video serie	# 4
viertelmillion	viertel million	# 4
virusinfektion	virus infektion	# 4
vollmilch	voll milch	# 4
vollversammlung	voll versammlung	# 4
voraussicht	voraus sicht	# 4
waffenfabrik	waffe fabrik	# 4
wahlabend	wahl abend	# 4
wanderlust	wand lust	# 4
warenverkehr	ware verkehr	# 4
wehrpflichtgesetz	wehrpflicht gesetz	# 4
weinberg	wein berg	# 4
weitergabe	weit gabe	# 4
weitschusstest	weit schuss test	# 4
wellenlängenbereich	welle länge bereich	# 4
weltsicht	welt sicht	# 4
weltwunder	welt wunder	# 4
wildtier	wild tier	# 4
winterpause	winter pause	# 4
winterspiel	winter spiel	# 4
wohingegen	wohin gegen	# 4
wohnbereich	wohn bereich	# 4
wohngeld	wohn geld	# 4
wohnmobil	wohn mobil	# 4
wortführer	wort führer	# 4
wortstamm	wort stamm	# 4
wählerpotenzial	wähler potenzial	# 4
zahnärztin	zahn ärztin	# 4
zeitbegriff	zeit begriff	# 4
zeitbombe	zeit bombe	# 4
zeitdimension	zeit dimension	# 4
zeitgeist	zeit geist	# 4
zielgebiet	ziel gebiet	# 4
zollkontrolle	zoll kontrolle	# 4
zuckergehalt	zucker gehalt	# 4
zurückhaltung	zurück haltung	# 4
zwischenraum	zwischen raum	# 4
zwischenschritt	zwischen schritt	# 4
zwischenziel	zwischen ziel	# 4
übeltäter	übel täter	# 4
übergangszeit	über gang zeit	# 4
abendpost	abend post	# 3
abermillion	aber million	# 3
aktienrecht	aktie recht	# 3
alkoholkonsum	alkohol konsum	# 3
alkoholmenge	alkohol menge	# 3
alleinerziehenden	allein zieh enden	# 3
alleinsein	allein sein	# 3
allgemeinbildung	allgemein bildung	# 3
ameisenkolonie	ameise kolonie	# 3
anlagenbetreiber	anlage betreiber	# 3
ansatzpunkt	ansatz punkt	# 3
anwaltverein	anwalt verein	# 3
arbeiterstadt	arbeit stadt	# 3
argumentenpaar	argument paar	# 3
armeepolizei	armee polizei	# 3
arschkarte	arsch karte	# 3
arztgespräch	arzt gespräch	# 3
asylsystem	asyl system	# 3
atemluft	atem luft	# 3
atemproblem	atem problem	# 3
augeninnendruck	auge innen druck	# 3
augenzeugenbericht	auge zeug bericht	# 3
ausgabestell	ausgabe stell	# 3
auslandseinsatz	ausland sein satz	# 3
ausländerkriminalität	ausländer kriminalität	# 3
aussenhandel	aussen handel	# 3
aussenministerin	aussen ministerin	# 3
aussprachetrainer	aussprache trainer	# 3
ausweisdokument	ausweis dokument	# 3
autobahnkilometer	auto bahn kilometer	# 3
autohändler	auto händler	# 3
automobilhersteller	auto mobil hersteller	# 3
autowerkstatt	auto werkstatt	# 3
bahnfahrt	bahn fahrt	# 3
bahnverkehr	bahn verkehr	# 3
bandscheibenvorfall	band scheibe vorfall	# 3
basisdemokratie	basis demokratie	# 3
beinbruch	bein bruch	# 3
beobachterstatus	beobachter status	# 3
bergtour	berg tour	# 3
bettwäsche	bett wäsche	# 3
biersorte	bier sorte	# 3
blaulicht	blau licht	# 3
blickfeld	blick feld	# 3
blutkreislauf	blut kreis lauf	# 3
blutwert	blut wert	# 3
bodenkrieg	boden krieg	# 3
bodenluft	boden luft	# 3
brandbombe	brand bombe	# 3
breitengrade	breit grade	# 3
brieftasche	brief tasche	# 3
briefwechsel	brief wechsel	# 3
buchführung	buch führung	# 3
bundesarbeitsminister	bund arbeit minister	# 3
bundesgesetz	bund gesetz	# 3
bundeskanzlerkandidat	bund kanzlerkandidat	# 3
bundespolizei	bund polizei	# 3
bundespräsidentenwahl	bund präsident wahl	# 3
bundesstrasse	bund strasse	# 3
börsenhandel	börse handel	# 3
börsenwert	börse wert	# 3
bürgerdialog	bürger dialog	# 3
bürgersteig	bürger steig	# 3
bürgerversicherung	bürger versicherung	# 3
büroangestellter	büro angestellter	# 3
bürokaufmann	büro kauf mann	# 3
büroraum	büro raum	# 3
bürostuhl	büro stuhl	# 3
cannabislegalisierung	cannabis legalisierung	# 3
chemiewaffe	chemie waffe	# 3
dabeisein	dabei sein	# 3
dachboden	dach boden	# 3
damenindisch	dame indisch	# 3
damentoilette	dame toilette	# 3
datenmissbrauch	date missbrauch	# 3
datenpaket	date paket	# 3
dativobjekt	dativ objekt	# 3
denkvermögen	denk vermögen	# 3
deutschstunde	deutsch stunde	# 3
deutschvokabel	deutsch vokabel	# 3
deutschüben	deutsch üben	# 3
deutschübung	deutsch übung	# 3
diamantring	diamant ring	# 3
dienstreise	dienst reise	# 3
dieselmotor	diesel motor	# 3
dorfplatz	dorf platz	# 3
dorfschule	dorf schule	# 3
drehbuchautor	dreh buch autor	# 3
drehkreuz	dreh kreuz	# 3
drehscheibe	dreh scheibe	# 3
drogenproblem	droge problem	# 3
drogenwasser	droge wasser	# 3
druckmittel	druck mittel	# 3
druckunterschied	druck unterschied	# 3
dummkopf	dumm kopf	# 3
dönerfleisch	döner fleisch	# 3
ebenbild	eben bild	# 3
ehrenwort	ehre wort	# 3
eisenkugel	eisen kugel	# 3
energiefrage	energie frage	# 3
energiesicherheit	energie sicherheit	# 3
englischkenntnis	englisch kenntnis	# 3
erkenntnispunkt	erkenntnis punkt	# 3
erkenntnistheorie	erkenntnis theorie	# 3
erstwähler	erst wähler	# 3
erwachsenenbildung	erwachsen bildung	# 3
eurokrise	euro krise	# 3
exklusivvertrag	exklusiv vertrag	# 3
expertenkommission	experte kommission	# 3
expertenstatus	experte status	# 3
extrawurst	extra wurst	# 3
fachanwalt	fach anwalt	# 3
facharbeiter	fach arbeiter	# 3
facharzt	fach arzt	# 3
fachmann	fach mann	# 3
fachmittelschule	fach mittel schule	# 3
fachpersonal	fach personal	# 3
fahnenoffizier	fahne offizier	# 3
fahrradgeschäft	fahrrad geschäft	# 3
fahrradsingen	fahrrad singen	# 3
fahrradtasche	fahrrad tasche	# 3
fahrradunfall	fahrrad unfall	# 3
fahrtwind	fahrt wind	# 3
fallgeschwindigkeit	fall geschwindigkeit	# 3
familienbild	familie bild	# 3
familienfeier	familie feier	# 3
familienleben	familie leben	# 3
familienpolitik	familie politik	# 3
familienunternehmen	familie unternehmen	# 3
familienvideo	familie video	# 3
faustpfand	faust pfand	# 3
fehlermeldung	fehler meldung	# 3
fernschreiben	fern schreiben	# 3
festspiel	fest spiel	# 3
filmaufnahme	film aufnahme	# 3
filmtitel	film titel	# 3
finanzbegriff	finanz begriff	# 3
finanzexperte	finanz experte	# 3
finanzgeschäft	finanz geschäft	# 3
finanzskandal	finanz skandal	# 3
flaggenstreit	flagge streit	# 3
fleischersatzprodukt	fleisch satz produkt	# 3
fleischprodukt	fleisch produkt	# 3
fluchtauto	flucht auto	# 3
flugplan	flug plan	# 3
flugverkehr	flug verkehr	# 3
folgeschaden	folge schaden	# 3
fossilbericht	fossil bericht	# 3
fragerunde	frag runde	# 3
frauengruppe	frau gruppe	# 3
frauenhaus	frau haus	# 3
frauenverein	frau verein	# 3
freiburger	frei burger	# 3
freiherr	frei herr	# 3
freitagnachmittag	freitag nachmittag	# 3
freizeitpark	frei zeit park	# 3
frontlinie	front linie	# 3
fruchtblase	frucht blase	# 3
fruchtsalat	frucht salat	# 3
frühdienst	früh dienst	# 3
frühsommer	früh sommer	# 3
fussballclub	fuss ball club	# 3
fussballfeld	fuss ball feld	# 3
fussballnationalmannschaft	fuss ball nationalmannschaft	# 3
fussballplatz	fuss ball platz	# 3
fussballprofi	fuss ball profi	# 3
fussballstar	fuss ball star	# 3
fussballtrainer	fuss ball trainer	# 3
fusssoldat	fuss soldat	# 3
fürstenherrschaft	fürst herrschaft	# 3
gartenstrasse	garten strasse	# 3
geburtsjahrgang	geburt jahr gang	# 3
gegenfrage	gegen frage	# 3
gegengewalt	gegen gewalt	# 3
geheimpolizei	geheim polizei	# 3
geheimtreffen	geheim treffen	# 3
geheimzutat	geheim zutat	# 3
gehirnstruktur	gehirn struktur	# 3
geistwesen	geist wesen	# 3
gelbkörper	gelb körper	# 3
geldanlage	geld anlage	# 3
geldbetrag	geld betrag	# 3
geldmenge	geld menge	# 3
geldstück	geld stück	# 3
generalbundesanwalt	general bund anwalt	# 3
generalstaatsanwaltschaft	general staatsanwaltschaft	# 3
gesamtemission	gesamt emission	# 3
gesetzesinitiative	gesetz initiative	# 3
gewaltdarstellung	gewalt darstellung	# 3
gewinnbeteiligung	gewinn beteiligung	# 3
gletscherwasser	gletscher wasser	# 3
glockenschlag	glocke schlag	# 3
goldfisch	gold fisch	# 3
grabeskirche	grab kirche	# 3
grammatikfrage	grammatik frage	# 3
grammatikthema	grammatik thema	# 3
grillfest	grill fest	# 3
grippevirus	grippe virus	# 3
grossbuchstabe	gross buchstabe	# 3
grossdeutschland	gross deutsch land	# 3
grossfürst	gross fürst	# 3
grosskonzern	gross konzern	# 3
grossprojekt	gross projekt	# 3
grosswetterlage	gross wetter lage	# 3
grundausbildung	grund ausbildung	# 3
grundfest	grund fest	# 3
grundstock	grund stock	# 3
grundversorgung	grund versorgung	# 3
grundzustand	grund zustand	# 3
gruppenfoto	gruppe foto	# 3
gruppenidentität	gruppe identität	# 3
grössenverhältnis	grösse verhältnis	# 3
gurkenwasser	gurke wasser	# 3
haareschneiden	haar schneiden	# 3
halbgott	halb gott	# 3
halbschwester	halb schwester	# 3
halbwissen	halb wissen	# 3
halteverbot	halt verbot	# 3
handbuch	hand buch	# 3
handschlag	hand schlag	# 3
handykamera	handy kamera	# 3
handynutzung	handy nutzung	# 3
handyproblem	handy problem	# 3
hauptstadtstudio	hauptstadt studio	# 3
hausverbot	haus verbot	# 3
hauswand	haus wand	# 3
herrscherfamilie	herrscher familie	# 3
herrschergeschlecht	herrscher geschlecht	# 3
herzschmerz	herz schmerz	# 3
himmelherrschaftszeit	himmel herrschaft zeit	# 3
himmelreich	himmel reich	# 3
hintergrundgespräch	hinter grund gespräch	# 3
hinterland	hinter land	# 3
hinterzimmer	hinter zimmer	# 3
hinweisschild	hinweis schild	# 3
hirnstamm	hirn stamm	# 3
hirnstrom	hirn strom	# 3
historikerstreit	historiker streit	# 3
hochmittelalter	hoch mittelalter	# 3
hochsicherheitsgefängnis	hoch sicherheit gefängnis	# 3
hochsprache	hoch sprache	# 3
hochsprung	hoch sprung	# 3
hochwasserkatastrophe	hoch wasser katastrophe	# 3
holzhandwerk	holz hand werk	# 3
holzheizung	holz heizung	# 3
holzplatte	holz platte	# 3
hormonhaushalt	hormon haushalt	# 3
hormonspiegel	hormon spiegel	# 3
hundefleisch	hund fleisch	# 3
händlerfamilie	händler familie	# 3
höhenlage	höhe lage	# 3
immunantwort	immun antwort	# 3
imperativform	imperativ form	# 3
industriegebiet	industrie gebiet	# 3
industrieproduktion	industrie produktion	# 3
industriestaat	industrie staat	# 3
industriestadt	industrie stadt	# 3
industriestandort	industrie standort	# 3
infrastrukturprojekt	infrastruktur projekt	# 3
innenverteidiger	innen verteidiger	# 3
intensivkurs	intensiv kurs	# 3
internetanbieter	internet anbieter	# 3
internetdienst	internet dienst	# 3
irrenhaus	irren haus	# 3
jahresbeginn	jahr beginn	# 3
jahreseinkommen	jahr sein kommen	# 3
jahresmitgliedschaft	jahr mitgliedschaft	# 3
jahreswechsel	jahr wechsel	# 3
jahrtausendwende	jahr tausend wende	# 3
judenhass	jude hass	# 3
jugendpolitik	jugend politik	# 3
jugendstudie	jugend studie	# 3
jugendwort	jugend wort	# 3
jungfernfahrt	jung fern fahrt	# 3
justizministerin	justiz ministerin	# 3
justizsystem	justiz system	# 3
kampfflieger	kampf flieger	# 3
kampfschiff	kampf schiff	# 3
kanalmitglied	kanal mitglied	# 3
kernaufgabe	kern aufgabe	# 3
kernfamilie	kern familie	# 3
kernforderung	kern forderung	# 3
kinderarmut	kind armut	# 3
kinderbuch	kind buch	# 3
kinderschutzfall	kind schutz fall	# 3
kinderspiel	kind spiel	# 3
kinderzeit	kind zeit	# 3
kindesmisshandlung	kind miss handlung	# 3
kirchenleute	kirche leute	# 3
kleiderschrank	kleid schrank	# 3
klimamodell	klima modell	# 3
klimaschutzgesetz	klima schutz gesetz	# 3
kohlekraft	kohle kraft	# 3
kohlenstoffkette	kohle stoff kette	# 3
kollegeblock	kollege block	# 3
kommandosoldat	kommando soldat	# 3
kommentarfeld	kommentar feld	# 3
konsumverhalten	konsum verhalten	# 3
konzertticket	konzert ticket	# 3
kopfball	kopf ball	# 3
kopfschuss	kopf schuss	# 3
kostenrechnung	kosten rechnung	# 3
kraftfahrzeug	kraft fahrzeug	# 3
krankenbett	krank bett	# 3
krankenversicherungssystem	krank versicherung system	# 3
krebsmedikament	krebs medikament	# 3
kreuzfahrt	kreuz fahrt	# 3
krisenjahr	krise jahr	# 3
krisensituation	krise situation	# 3
kulturraum	kultur raum	# 3
kulturrevolution	kultur revolution	# 3
kundenkontakt	kunde kontakt	# 3
kundennummer	kunde nummer	# 3
kunstlicht	kunst licht	# 3
kurswechsel	kurs wechsel	# 3
kurvenverlauf	kurve verlauf	# 3
kurzgeschichte	kurz geschichte	# 3
kältemittel	kälte mittel	# 3
käsebrötchen	käse brötchen	# 3
käseplatte	käse platte	# 3
körperwärme	körper wärme	# 3
laborexperiment	labor experiment	# 3
lagerhaus	lager haus	# 3
lampenfieber	lampe fieber	# 3
landbrücke	land brücke	# 3
landesgrenze	land grenze	# 3
landesverfassung	land verfassung	# 3
landreform	land reform	# 3
landsitz	land sitz	# 3
landstreitkraft	land streit kraft	# 3
landwirtschaftsministerium	land wirtschaft ministerium	# 3
langzeitschaden	lang zeit schaden	# 3
lauffeuer	lauf feuer	# 3
lebenseinstellung	leben sein stellung	# 3
lebensmittelhändler	leben mittel händler	# 3
lebensmittelindustrie	leben mittel industrie	# 3
leerraum	leer raum	# 3
lehrerausbildung	lehre raus bildung	# 3
liebesgeschichte	lieb geschichte	# 3
liebeslied	lieb lied	# 3
liebespaar	lieb paar	# 3
lieblingsteil	liebling steil	# 3
literaturkritiker	literatur kritiker	# 3
lochkarte	loch karte	# 3
luftbrücke	luft brücke	# 3
luftfahrt	luft fahrt	# 3
luftfilter	luft filter	# 3
luftschlag	luft schlag	# 3
luxushotel	luxus hotel	# 3
luxusmark	luxus mark	# 3
längengrade	länge grade	# 3
mafiakrieg	mafia krieg	# 3
magenoperation	magen operation	# 3
mangelwirtschaft	mangel wirtschaft	# 3
marktanalyse	markt analyse	# 3
massenbewegung	mass bewegung	# 3
materialschlacht	material schlacht	# 3
medikamentenentwicklung	medikament entwicklung	# 3
medizinstudent	medizin student	# 3
medizintechnik	medizin technik	# 3
meerjungfrau	meer jung frau	# 3
megabotschaft	mega botschaft	# 3
mehrkosten	mehr kosten	# 3
mehrparteiensystem	mehr partei system	# 3
meisterstück	meist stück	# 3
menschenbaby	mensch baby	# 3
menschenopfer	mensch opfer	# 3
methodenverständnis	methode verständnis	# 3
milchstrasse	milch strasse	# 3
milchzucker	milch zucker	# 3
militäreinheit	militär einheit	# 3
militärfahrzeug	militär fahrzeug	# 3
militärhilfe	militär hilfe	# 3
militärübung	militär übung	# 3
milliardenbereich	milliarde bereich	# 3
millionenpublikum	million publikum	# 3
misswirtschaft	miss wirtschaft	# 3
mittwochabend	mittwoch abend	# 3
molekülstruktur	molekül struktur	# 3
mondstaub	mond staub	# 3
montagmorgen	montag morgen	# 3
moralvorstellung	moral vorstellung	# 3
mordserie	mord serie	# 3
musikinstrument	musik instrument	# 3
musikstück	musik stück	# 3
muskelgruppe	muskel gruppe	# 3
musterbeispiel	muster beispiel	# 3
mutterschutz	mutter schutz	# 3
nachfolgeregelung	nach folge regelung	# 3
nachhilfestunde	nach hilfe stunde	# 3
nachkriegszeit	nach krieg zeit	# 3
nachrichtenquelle	nach richten quelle	# 3
nachtclub	nacht club	# 3
nachtdienst	nacht dienst	# 3
nachtzeit	nacht zeit	# 3
nahrungsmittelindustrie	nahrung mittel industrie	# 3
nahrungsmittelproduktion	nahrung mittel produktion	# 3
nationalbewusstsein	national bewusstsein	# 3
nationalfarbe	national farbe	# 3
naturraum	natur raum	# 3
naziwitze	nazi witze	# 3
nebenfach	neben fach	# 3
nettoeinkommen	netto einkommen	# 3
nichtjude	nicht jude	# 3
nichtregierungsorganisation	nicht regierung organisation	# 3
notfallstufe	notfall stufe	# 3
nudelsalat	nudel salat	# 3
oberflächentemperatur	oberfläche temperatur	# 3
obstbaum	obst baum	# 3
onlinehandel	online handel	# 3
opfergruppe	opfer gruppe	# 3
opferrolle	opfer rolle	# 3
originalaufnahme	original aufnahme	# 3
originalquelle	original quelle	# 3
paarform	paar form	# 3
paartherapie	paar therapie	# 3
panzerfaust	panzer faust	# 3
papierform	papier form	# 3
papiermüll	papier müll	# 3
papiertonne	papier tonne	# 3
paralleluniversum	parallel universum	# 3
parkbank	park bank	# 3
parteichefin	partei chefin	# 3
parteiensystem	partei system	# 3
parteigrenze	partei grenze	# 3
parteipolitik	partei politik	# 3
parteivorsitzend	partei vorsitzend	# 3
passivkonto	passiv konto	# 3
personalkosten	personal kosten	# 3
personalpronomen	personal pronomen	# 3
personenbezeichnung	person bezeichnung	# 3
pferdedieb	pferd dieb	# 3
pflanzenschutzmittel	pflanze schutz mittel	# 3
pflichtaufgabe	pflicht aufgabe	# 3
piratenpartei	pirat partei	# 3
pizzateig	pizza teig	# 3
plastiktüte	plastik tüte	# 3
platzwette	platz wette	# 3
polizeiauto	polizei auto	# 3
polizeibericht	polizei bericht	# 3
polizeichef	polizei chef	# 3
polizeidienst	polizei dienst	# 3
positivsummenwelt	positiv summe welt	# 3
postposition	post position	# 3
praxistest	praxis test	# 3
pressegespräch	presse gespräch	# 3
privatbesitz	privat besitz	# 3
privaträumen	privat räumen	# 3
privatsache	privat sache	# 3
privatschule	privat schule	# 3
privatwirtschaft	privat wirtschaft	# 3
problembewusstsein	problem bewusstsein	# 3
profibereich	profi bereich	# 3
projektstatus	projekt status	# 3
propagandainstrument	propaganda instrument	# 3
proteingehalt	protein gehalt	# 3
protestwelle	protest welle	# 3
prozentzahlen	prozent zahlen	# 3
punktzahl	punkt zahl	# 3
rassentheorie	rasse theorie	# 3
raumanzug	raum anzug	# 3
recherchearbeit	recherche arbeit	# 3
reformplan	reform plan	# 3
reformvorschlag	reform vorschlag	# 3
regenwahrscheinlichkeit	regen wahrscheinlichkeit	# 3
regenwasser	regen wasser	# 3
regionalbahn	regional bahn	# 3
regionalsprache	regional sprache	# 3
regionalwahl	regional wahl	# 3
reichspräsidentenwahl	reich präsident wahl	# 3
reichweit	reich weit	# 3
reisegruppe	reis gruppe	# 3
reiseplan	reis plan	# 3
reiseziel	reis ziel	# 3
rentenmark	rente mark	# 3
rentenpunkt	rente punkt	# 3
rentenzahlung	rente zahlung	# 3
richterwahl	richter wahl	# 3
riesenerfolg	ries erfolg	# 3
riesenproblem	ries problem	# 3
riesenwelle	ries welle	# 3
risikoanalyse	risiko analyse	# 3
risikopatient	risiko patient	# 3
rollenkonflikt	rolle konflikt	# 3
ruhezeit	ruhe zeit	# 3
salzgehalt	salz gehalt	# 3
salzwasser	salz wasser	# 3
schichtarbeit	schicht arbeit	# 3
schlafcouch	schlaf couch	# 3
schlafkrankheit	schlaf krankheit	# 3
schlagkraft	schlag kraft	# 3
schlagring	schlag ring	# 3
schlüsselfigur	schlüssel figur	# 3
schlüsselstelle	schlüssel stelle	# 3
schneedecke	schnee decke	# 3
schnittposition	schnitt position	# 3
schraubenschlüssel	schraube schlüssel	# 3
schreibtischlampe	schreibtisch lampe	# 3
schreibtischtäter	schreibtisch täter	# 3
schriftdeutsch	schrift deutsch	# 3
schriftzeichen	schrift zeichen	# 3
schuldenberg	schuld berg	# 3
schutzschicht	schutz schicht	# 3
schutztruppe	schutz truppe	# 3
schwachpunkt	schwach punkt	# 3
seitenkette	seit kette	# 3
sekundenbruchteil	sekunde bruch teil	# 3
selbstbild	selbst bild	# 3
selbsteinschätzung	selbst einschätzung	# 3
selbstmordattentäter	selbst mord attentäter	# 3
selbstzweifel	selbst zweifel	# 3
sinnabschnitt	sinn abschnitt	# 3
sitzordnung	sitz ordnung	# 3
sklavenhandel	sklave handel	# 3
softwareingenieur	software ingenieur	# 3
sommerinterview	sommer interview	# 3
songtext	song text	# 3
sonnenkönig	sonne könig	# 3
sonnenschirm	sonne schirm	# 3
sonnensturm	sonne sturm	# 3
sonntagmorgen	sonntag morgen	# 3
sorgerecht	sorge recht	# 3
sozialarbeit	sozial arbeit	# 3
sozialminister	sozial minister	# 3
sozialprogramm	sozial programm	# 3
sozialverband	sozial verband	# 3
sozialversicherungssystem	sozial versicherung system	# 3
spargelzeit	spargel zeit	# 3
spielfeldrand	spiel feld rand	# 3
spitzenpolitikerin	spitze politikerin	# 3
sportbund	sport bund	# 3
sportschule	sport schule	# 3
sportwissenschaft	sport wissenschaft	# 3
spätsommer	spät sommer	# 3
staatenbund	staat bund	# 3
stammkunde	stamm kunde	# 3
standardbrief	standard brief	# 3
standardsatz	standard satz	# 3
statistikprüfung	statistik prüfung	# 3
steinkreis	stein kreis	# 3
steinkugel	stein kugel	# 3
steinwerkzeug	stein werkzeug	# 3
sternentstehung	stern entstehung	# 3
sternstunde	stern stunde	# 3
steuerbescheid	steuer bescheid	# 3
steuersystem	steuer system	# 3
stichpunkt	stich punkt	# 3
stoffklasse	stoff klasse	# 3
strandparty	strand party	# 3
strassennetz	strasse netz	# 3
strassenschild	strasse schild	# 3
streifenwagen	streifen wagen	# 3
stresshormon	stress hormon	# 3
studienergebnis	studie ergebnis	# 3
studienfach	studie fach	# 3
stundensatz	stunde satz	# 3
superintelligenz	super intelligenz	# 3
superkontinent	super kontinent	# 3
supermarktkasse	super markt kasse	# 3
supermarktkette	super markt kette	# 3
superpanzer	super panzer	# 3
superreiche	super reiche	# 3
systemwechsel	system wechsel	# 3
teilbereich	teil bereich	# 3
teilchenphysik	teilchen physik	# 3
teilstaat	teil staat	# 3
teilstrecke	teil strecke	# 3
terroraktion	terror aktion	# 3
terrorangriff	terror angriff	# 3
terrorherrschaft	terror herrschaft	# 3
testperson	test person	# 3
theatergruppe	theater gruppe	# 3
ticketpreis	ticket preis	# 3
tiefflieger	tief flieger	# 3
tierfutter	tier futter	# 3
tiergarten	tier garten	# 3
tiergeräusch	tier geräusch	# 3
tiergruppe	tier gruppe	# 3
tierleid	tier leid	# 3
tierschutzallianz	tier schutz allianz	# 3
tierstudie	tier studie	# 3
tierärztin	tier ärztin	# 3
tischplatte	tisch platte	# 3
totalschaden	total schaden	# 3
totenkopf	tote kopf	# 3
traumwelt	traum welt	# 3
treppensteig	treppe steig	# 3
truppenabzug	truppe abzug	# 3
umfrageinstitut	umfrage institut	# 3
umweltbelastung	umwelt belastung	# 3
umweltbilanz	umwelt bilanz	# 3
umweltminister	umwelt minister	# 3
unterform	unter form	# 3
untergrundorganisation	unter grund organisation	# 3
unterhaus	unter haus	# 3
unterholz	unter holz	# 3
untermensch	unter mensch	# 3
unternehmensanteil	unter nehmen anteil	# 3
unternehmensgewinn	unter nehmen gewinn	# 3
unternehmerpersönlichkeit	unternehmer persönlichkeit	# 3
unteroffizier	unter offizier	# 3
unterstrich	unter strich	# 3
unterversorgung	unter versorgung	# 3
vierteljahrhundert	viertel jahrhundert	# 3
viertelkreis	viertel kreis	# 3
virustest	virus test	# 3
virusvariante	virus variante	# 3
vogelgrippe	vogel grippe	# 3
volksparkstadion	volk park stadion	# 3
waffenbesitz	waffe besitz	# 3
wahlkampfthema	wahl kampf thema	# 3
wahlpflicht	wahl pflicht	# 3
wahltermin	wahl termin	# 3
waldfläche	wald fläche	# 3
waldsiedlung	wald siedlung	# 3
wasserenergie	wasser energie	# 3
wasserglas	wasser glas	# 3
wasserkraft	wasser kraft	# 3
wassernutzung	wasser nutzung	# 3
wasserstrasse	wasser strasse	# 3
wasserstress	wasser stress	# 3
wechselunterricht	wechsel unterricht	# 3
weltbühne	welt bühne	# 3
weltenbrand	welt brand	# 3
welternährung	welt ernährung	# 3
weltformel	welt formel	# 3
welthandel	welt handel	# 3
welthauptstadt	welt hauptstadt	# 3
weltherrschaft	welt herrschaft	# 3
weltkulturerbe	welt kultur erbe	# 3
weltliteratur	welt literatur	# 3
weltmeistertitel	welt meist titel	# 3
weltpolitik	welt politik	# 3
werkstoff	werk stoff	# 3
werkstück	werk stück	# 3
wertverlust	wert verlust	# 3
